"Name","Path"
"ApplicationFrameHost",
"chrome",
"chrome",
"chrome",
"chrome",
"chrome",
"chrome",
"chrome",
"chrome",
"chrome",
"chrome",
"chrome",
"Code",
"Code",
"Code",
"Code",
"Code",
"Code",
"Code",
"Code",
"Code",
"conhost",
"conhost",
"csrss",
"csrss",
"ctfmon",
"dllhost",
"dllhost",
"dwm",
"explorer",
"fontdrvhost",
"fontdrvhost",
"GoogleCrashHandler","C:\Program Files (x86)\Google\Update\1.3.36.352\GoogleCrashHandler.exe"
"GoogleCrashHandler64",
"Idle",
"lsass",
"Memory Compression",
"msdtc",
"MsMpEng",
"MusNotifyIcon",
"NisSrv",
"powershell",
"powershell_ise","C:\Windows\syswow64\WindowsPowerShell\v1.0\PowerShell_ISE.exe"
"Registry",
"RuntimeBroker",
"RuntimeBroker",
"RuntimeBroker",
"SearchUI",
"SecurityHealthService",
"SecurityHealthSystray",
"services",
"SgrmBroker",
"ShellExperienceHost",
"sihost",
"smss",
"spoolsv",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"svchost",
"System",
"SystemSettings",
"taskhostw",
"VGAuthService",
"vm3dservice",
"vm3dservice",
"vmtoolsd",
"vmtoolsd",
"WindowsInternal.ComposableShell.Experiences.TextInput.InputApp",
"wininit",
"winlogon",
"winpty-agent",
"WmiPrvSE",
